obj_id,name,year,iconic,type,S8,S6,iconic_bin,year_c,type_clean
311,"A Louis Vuitton wardrobe trunk, covered in monogram LV canvas and bound in leather and brass with wooden banding, monogrammed C.B.O in yellow paint, key number 102847, the interior fitted with six drawers on one side and hanging space and shoe box on the other, labelled Louis Vuitton Paris Nice 870864--25 1/2 x 21 1/2 x 44 1/2in. (65 x 55 x 113cm.), circa 1960, possibly later modifications by Louis Vuitton in London, one minor lock damaged",1960,no,trunk,0.71875,0.9583333333333334,0,10.6,trunk
312,"A Louis Vuitton wardrobe trunk, covered in monogram LV canvas and bound in leather and brass with wooden banding, monogrammed C.B.O in yellow paint, key number 102847, the interior fitted with six drawers on one side and hanging space and shoe box on the other, labelled Louis Vuitton Paris Nice 870864--25 1/2 x 21 1/2 x 44 1/2in. (65 x 55 x 113cm.), circa 1960, possibly later modifications by Louis Vuitton in London, one minor lock damaged",1960,no,trunk,0.96875,0.9583333333333334,0,10.6,trunk
313,"A Louis Vuitton wardrobe trunk, covered in monogram LV canvas and bound in leather and brass with wooden banding, monogrammed C.B.O in yellow paint, key number 102847, the interior fitted with six drawers on one side and hanging space and shoe box on the other, labelled Louis Vuitton Paris Nice 870864--25 1/2 x 21 1/2 x 44 1/2in. (65 x 55 x 113cm.), circa 1960, possibly later modifications by Louis Vuitton in London, one minor lock damaged",1960,no,suitcase,0.875,0.8333333333333334,0,10.6,suitcase
314,AN ALZER SUITCASE AND A BISTEN SUITCASE IN MONOGRAM CANVAS,1960,no,trunk,0.71875,0.9583333333333334,0,10.6,trunk
315,AN ALZER SUITCASE AND A BISTEN SUITCASE IN MONOGRAM CANVAS,1960,no,trunk,0.75,1.0,0,10.6,trunk
316,A BISTON 60 SUITCASE,1960,no,trunk,0.71875,0.9583333333333334,0,10.6,trunk
317,AN ALZER ANGLAIS 80 SUITCASE IN MONOGRAM CANVAS,1960,no,trunk,0.71875,0.9583333333333334,0,10.6,trunk
318,Paris Alzer-70 Luggage Trunk LV Pattern With Cover & Service,1970,no,suitcase,0.75,1.0,0,11.6,suitcase
319,Vintage Louis Vuitton Suitcase Bisten 60 Monogram Canvas,1970,no,suitcase,0.71875,0.9583333333333334,0,11.6,suitcase
320,Louis Vuitton Suitcase Bisten 80,1970,no,suitcase,0.71875,0.9583333333333334,0,11.6,suitcase
321,Original vintage Louis Vuitton suitcase,1970,no,suitcase,0.59375,0.7916666666666666,0,11.6,suitcase
322,Original vintage Louis Vuitton suitcase,1970,no,suitcase,0.59375,0.7916666666666666,0,11.6,suitcase
323,Cotteville 40 Case Louis Vuitton Leather Brass Canvas,1970,no,suitcase,0.71875,0.9583333333333334,0,11.6,suitcase
324,"A Louis Vuitton wardrobe trunk, covered in LV monogram canvas with yellow owner stripes, bound in leather and brass with wooden bandings, monogrammed H.P.C on sides, lock no. 114285, the interior fitted with six drawers, hanging space and divider",1970,no,trunk,0.75,1.0,0,11.6,trunk
325,"shoe box, labelled LOUIS VUITTON PARIS LONDON NICE CANNES VICHY--26 x 22 x 44in. (66 x 56 x 112cm.)",1970,no,trunk,0.75,1.0,0,11.6,trunk
326,"A Louis Vuitton cabin trunk, covered in LV monogram canvas and bound in leather and brass with wooden bandings, the sides monogrammed S P, lock no. 063627",1970,no,trunk,0.9375,0.9166666666666666,0,11.6,trunk
327,"Asnières-sur-Seine
Large suitcase 'Alzer Monogram Canvas'",1980,no,suitcase,0.75,1.0,0,12.6,suitcase
328,"Asnières-sur-Seine
Medium suitcase 'Cotteville Monogram
Canvas",1970,no,suitcase,0.71875,0.9583333333333334,0,11.6,suitcase
329,"Asnières-sur-Seine
Small 'Super President Monogram Canvas' suitcase",1970,no,suitcase,0.71875,0.9583333333333334,0,11.6,suitcase
330,Monogram Wig Case Round Hat Trunk Travel Bag,1970,yes,bag,0.625,0.8333333333333334,1,11.6,bag
331,"Round Louis Vuitton Hat Trunk 50, Louis Vuitton Hat Box, Louis Vuitton Bag",1980,yes,trunk,0.625,0.8333333333333334,1,12.6,trunk
332,Vintage Louis Vuitton Hat Box,1960,no,trunk,0.71875,0.9583333333333334,0,10.6,trunk
333,"Extra Large Louis Vuitton Marin Bag Louis Vuitton Bag, Louis Vuitton Duffle Bag",1970,yes,bag,0.5,0.6666666666666667,1,11.6,bag
334,A CLASSIC MONOGRAM CANVAS COTTEVILLE 45 TRUNK WITH BRASS HARDWARE,1980,no,suitcase,0.71875,0.9583333333333334,0,12.6,suitcase
335,A CLASSIC MONOGRAM CANVAS ALZER 65 TRUNK WITH BRASS HARDWARE,1980,no,suitcase,0.71875,0.9583333333333334,0,12.6,suitcase
336,Vintage Louis Vuitton Wardrobe 85 Casier Trunk,1980,no,trunk,0.75,1.0,0,12.6,trunk
337,"Louis Vuitton, Unique custom-made wardrobe trunk",1980,no,trunk,1.0,1.0,0,12.6,trunk
338,"Louis Vuitton Monogramm Shoe Trunk, Louis Vuitton Shoe Case, Louis Vuitton Trunk",1980,no,trunk,0.75,1.0,0,12.6,trunk
339,Vintage Louis Vuitton Monogram Overnight Case Trunk Luggage,1980,yes,suitcase,0.59375,0.7916666666666666,1,12.6,suitcase
340,Louis Vuitton Monogramme Huge Wardrobe Trunk / Malle Armoire,1980,no,trunk,0.75,1.0,0,12.6,trunk
341,Wardrobe Louis Vuitton Trunk,1980,no,trunk,0.71875,0.9583333333333334,0,12.6,trunk
342,Louis Vuitton Portable 'Whisky Bar',1980,no,trunk,0.96875,0.9583333333333334,0,12.6,trunk
343,LOUIS VUITTON Vintage Large Steamer Wardrobe Trunk,1980,no,trunk,0.75,1.0,0,12.6,trunk
344,Steamer Trunk in Monogram Canvas from Louis Vuitton,1980,yes,bag,0.59375,0.7916666666666666,1,12.6,bag
345,Vintage Monogram Trunk from Louis Vuitton,1980,yes,suitcase,0.71875,0.9583333333333334,1,12.6,suitcase
346,Vintage Louis Vuitton Speedy 25 Handbag,1980,yes,bag,0.5625,0.75,1,12.6,bag
347,Vintage Louis Vuitton Monogram Speedy 35 Bag,1980,yes,bag,0.625,0.8333333333333334,1,12.6,bag
348,Louis Vuitton Vintage Monogram Grand Noe GM Bucket Bag,1988,yes,bag,0.46875,0.625,1,13.4,bag
349,"monogram canvas handbag by Louis Vuitton, ""Noé""",1980,yes,bag,0.46875,0.625,1,12.6,bag
350,Saint Cloud GM Monogram Bag,1983,yes,bag,0.65625,0.875,1,12.9,bag
351,Sac à bandoulière vintage « Saint Cloud »,1983,yes,bag,0.65625,0.875,1,12.9,bag
352,"Vintage-Tasche ""Speedy""",1980,yes,bag,0.625,0.8333333333333334,1,12.6,bag
353,A CLASSIC MONOGRAM STANDING WARDROBE TRUNK,1990,no,trunk,0.75,1.0,0,13.6,trunk
354,A CLASSIC MONOGRAM CANVAS STANDING SHOE TRUNK,1990,no,trunk,0.75,1.0,0,13.6,trunk
355,A CLASSIC MONOGRAM CANVAS TRUNK,1990,no,trunk,0.75,1.0,0,13.6,trunk
356,Monogram Hard Shell Boite Pharmacie Vanity Trunk Case,1990,yes,trunk,0.71875,0.9583333333333334,1,13.6,trunk
357,A CLASSIC MONOGRAM CANVAS BOITE BOUTEILLES TRUNK WITH BRASS HARDWARE,1990,yes,trunk,0.71875,0.9583333333333334,1,13.6,trunk
358,A PERSONALIZED BROWN MONOGRAM LACQUERED CANVAS HARDSIDED TRUNK,1990,yes,trunk,0.71875,0.9583333333333334,1,13.6,trunk
359,A CUSTOM BLUE EPI ALZER 65 TRUNK WITH BRASS HARDWARE,1990,yes,suitcase,0.96875,0.9583333333333334,1,13.6,suitcase
360,Alzer 80 Monogram Trunk,1990,yes,suitcase,0.71875,0.9583333333333334,1,13.6,suitcase
361,A PERSONALIZED BROWN MONOGRAM CANVAS HARDSIDED VERTICAL WARDROBE TRUNK,2000,yes,trunk,0.71875,0.9583333333333334,1,14.6,trunk
362,"A RARE, ZINC EXPLORER TRUNK",1886,no,trunk,1.0,1.0,0,3.2,trunk
363,"A LIMITED EDITION BLACK RAINBOW MONOGRAM MALLE COURRIER 110 TRUNK WITH
RUTHÉNIUM HARDWARE BY VIRGIL ABLOH",2019,yes,trunk,0.71875,0.9583333333333334,1,16.5,trunk
364,A BLACK EPI LEATHER TRUNK WITH BRASS HARDWAREMODIFIED AS AN IPHONE SPEAKER TRUNK BY BERNADINI MILANO,2000,yes,trunk,0.96875,0.9583333333333334,1,14.6,trunk
365,"A CUSTOM MONOGRAM MALLE COURRIER
LOZINE 100 TRUNK WITH
ORANGE LINING & BRASS HARDWARE",2010,yes,trunk,0.75,1.0,1,15.6,trunk
366,"A LIMITED EDITION GREEN TUFFETAGE
MONOGRAM WALLET TRUNK
WITH GREEN HARDWARE BY VIRGIL ABLOH",2020,yes,trunk,0.59375,0.7916666666666666,1,16.6,trunk
367,SUITCASE 65,2000,yes,suitcase,0.71875,0.9583333333333334,1,14.6,suitcase
368,HATBOX,2000,yes,trunk,0.5625,0.75,1,14.6,trunk
369,CLASSIC MONOGRAM TOILE & NATURAL LEATHER RECTANGULAR TRAVEL TRUNK,2000,yes,trunk,0.71875,0.9583333333333334,1,14.6,trunk
370,DOME MINI STAGE COACH TRUNK WITH BRASS HARDWARE,2000,yes,case,0.53125,0.7083333333333333,1,14.6,case
